"","year","state","CVE_GEO","population","deaths","mort_rate"
"279",1978,"Michoacan",16,2819085,23443,0.0083158187851732
"280",1978,"Morelos",17,872911,6895,0.00789885795917339
"281",1978,"National",0,63269599,470092,0.0074299822889663
"282",1978,"Nayarit",18,692716,5447,0.00786325131800045
"283",1978,"Nuevo Leon",19,2315041,14753,0.00637267331334521
"284",1978,"Oaxaca",20,2373029,23623,0.00995478774174273
"285",1978,"Puebla",21,3226229,27972,0.00867018429255952
"286",1978,"Queretaro",22,684400,5134,0.00750146113383986
"287",1978,"Quintana Roo",23,188048,1216,0.00646643410193142
"288",1978,"San Luis Potosi",24,1612260,14194,0.00880379095183159
"289",1978,"Sinaloa",25,1716855,12827,0.00747121917692525
"290",1978,"Sonora",26,1425617,9607,0.00673883658794753
"291",1978,"State of Mexico",15,6630621,40054,0.00604076149126907
"292",1978,"Tabasco",27,1004945,7341,0.00730487738134923
"293",1978,"Tamaulipas",28,1831569,13872,0.00757383423720318
"294",1978,"Tlaxcala",29,532614,4512,0.00847142583559576
"295",1978,"Veracruz",30,5079638,43723,0.00860750313309728
"296",1978,"Yucatan",31,1007978,9619,0.00954286700701801
"297",1978,"Zacatecas",32,1116723,9132,0.0081774979112994
"298",1979,"Aguascalientes",1,495940,3241,0.00653506472557164
"299",1979,"Baja California",2,1139895,6969,0.00611372100061848
"300",1979,"Baja California Sur",3,201441,1380,0.00685064113065364
"301",1979,"Campeche",4,400771,2888,0.00720611022254604
"302",1979,"Chiapas",7,2061045,15022,0.00728853567001206
"303",1979,"Chihuahua",8,1978366,13163,0.00665347059138703
"304",1979,"Coahuila",5,1504658,9800,0.0065131079620751
"305",1979,"Colima",6,334600,2341,0.00699641362821279
"306",1979,"Durango",10,1167135,8446,0.00723652362408805
"307",1979,"Guanajuato",11,2944326,22215,0.00754502049025821
"308",1979,"Guerrero",12,2091135,18032,0.00862306833370395
"309",1979,"Hidalgo",13,1521968,13025,0.00855799859129758
"310",1979,"Jalisco",14,4284994,29769,0.00694726760410866
"311",1979,"Mexico City",9,8638157,49793,0.00576430828937237
"312",1979,"Michoacan",16,2863080,23013,0.00803784735320005
"313",1979,"Morelos",17,905267,6834,0.00754915400649753
"314",1979,"National",0,64989707,468053,0.0072019558420228
"315",1979,"Nayarit",18,708996,5389,0.00760088914464962
"316",1979,"Nuevo Leon",19,2393727,14826,0.00619368875398072
"317",1979,"Oaxaca",20,2396421,23080,0.00963102893857131
"318",1979,"Puebla",21,3300274,27631,0.0083723351455061
"319",1979,"Queretaro",22,708844,5126,0.00723149240171321
"320",1979,"Quintana Roo",23,202605,1242,0.00613015473458207
"321",1979,"San Luis Potosi",24,1646141,13855,0.0084166544664157
"322",1979,"Sinaloa",25,1772407,12874,0.00726356869500064
"323",1979,"Sonora",26,1463464,9584,0.00654884575226996
"324",1979,"State of Mexico",15,7020994,41314,0.00588435198776697
"325",1979,"Tabasco",27,1031641,7326,0.00710130752849102
"326",1979,"Tamaulipas",28,1873313,13791,0.00736182367815736
"327",1979,"Tlaxcala",29,544583,4472,0.00821178773483565
