"","year","state","CVE_GEO","age_group","ferty_rate","births"
"435",1971,"29",29,"15-19",156.99,3451
"436",1971,"29",29,"20-24",279.22,4556
"437",1971,"29",29,"25-29",350.41,4610
"438",1971,"29",29,"30-34",282.92,3223
"439",1971,"29",29,"35-39",223.81,2267
"440",1971,"29",29,"40-44",95.76,858
"441",1971,"29",29,"45-49",19.95,154
"442",1971,"30",30,"15-19",152.14,32313
"443",1971,"30",30,"20-24",289.9,48744
"444",1971,"30",30,"25-29",310.18,42989
"445",1971,"30",30,"30-34",258.17,30249
"446",1971,"30",30,"35-39",196.66,19622
"447",1971,"30",30,"40-44",69.9,5855
"448",1971,"30",30,"45-49",13.01,885
"449",1971,"31",31,"15-19",127.84,5382
"450",1971,"31",31,"20-24",306.02,10161
"451",1971,"31",31,"25-29",358.06,9611
"452",1971,"31",31,"30-34",288.92,6534
"453",1971,"31",31,"35-39",166.26,3292
"454",1971,"31",31,"40-44",49.53,872
"455",1971,"31",31,"45-49",4.93,76
"456",1971,"32",32,"15-19",111.84,5696
"457",1971,"32",32,"20-24",313.02,11548
"458",1971,"32",32,"25-29",391.82,11266
"459",1971,"32",32,"30-34",355.24,8539
"460",1971,"32",32,"35-39",259.24,5392
"461",1971,"32",32,"40-44",100.91,1816
"462",1971,"32",32,"45-49",10.23,155
"463",1972,"01",1,"15-19",101.82,2082
"464",1972,"01",1,"20-24",316.79,4871
"465",1972,"01",1,"25-29",312.39,3749
"466",1972,"01",1,"30-34",282.07,2790
"467",1972,"01",1,"35-39",252.95,2147
"468",1972,"01",1,"40-44",91.19,680
"469",1972,"01",1,"45-49",7.06,45
"470",1972,"02",2,"15-19",91.87,4883
"471",1972,"02",2,"20-24",259.28,10666
"472",1972,"02",2,"25-29",267.11,8795
"473",1972,"02",2,"30-34",209.93,5740
"474",1972,"02",2,"35-39",153.63,3544
"475",1972,"02",2,"40-44",46.86,919
"476",1972,"02",2,"45-49",5.84,94
"477",1972,"03",3,"15-19",115.51,898
"478",1972,"03",3,"20-24",288.55,1716
"479",1972,"03",3,"25-29",281.99,1342
"480",1972,"03",3,"30-34",224.85,883
"481",1972,"03",3,"35-39",149.83,488
"482",1972,"03",3,"40-44",48.94,134
"483",1972,"03",3,"45-49",3.53,8
"484",1972,"04",4,"15-19",181.56,2838
"485",1972,"04",4,"20-24",339.79,4106
"486",1972,"04",4,"25-29",269.81,2625
"487",1972,"04",4,"30-34",213.53,1742
"488",1972,"04",4,"35-39",160.43,1114
"489",1972,"04",4,"40-44",78.15,461
"490",1972,"04",4,"45-49",11.89,57
"491",1972,"07",7,"15-19",192.18,17927
"492",1972,"07",7,"20-24",282.16,20728
"493",1972,"07",7,"25-29",361.39,21354
"494",1972,"07",7,"30-34",296.11,14131
"495",1972,"07",7,"35-39",237.54,9158
"496",1972,"07",7,"40-44",86.07,2683
"497",1972,"07",7,"45-49",7.57,185
"498",1972,"08",8,"15-19",145.81,13495
"499",1972,"08",8,"20-24",277.85,19758
"500",1972,"08",8,"25-29",285.95,16322
"501",1972,"08",8,"30-34",224.04,10721
"502",1972,"08",8,"35-39",159.14,6499
"503",1972,"08",8,"40-44",56.46,1979
"504",1972,"08",8,"45-49",4.76,139
"505",1972,"09",9,"15-19",99.91,41610
"506",1972,"09",9,"20-24",261.64,90936
"507",1972,"09",9,"25-29",264.43,75696
"508",1972,"09",9,"30-34",216.89,51085
"509",1972,"09",9,"35-39",143.67,28313
"510",1972,"09",9,"40-44",50.12,8489
"511",1972,"09",9,"45-49",11.68,1671
"512",1972,"05",5,"15-19",145.84,9496
"513",1972,"05",5,"20-24",291.05,14588
