"","year","state","CVE_GEO","deaths"
"1102",2003,"Jalisco",14,31379
"1103",2003,"Mexico City",9,45692
"1104",2003,"Michoacan",16,21170
"1105",2003,"Morelos",17,8029
"1106",2003,"National",0,476496
"1107",2003,"Nayarit",18,4983
"1108",2003,"Nuevo Leon",19,17907
"1109",2003,"Oaxaca",20,19763
"1110",2003,"Puebla",21,25856
"1111",2003,"Queretaro",22,6209
"1112",2003,"Quintana Roo",23,3113
"1113",2003,"San Luis Potosi",24,12498
"1114",2003,"Sinaloa",25,12383
"1115",2003,"Sonora",26,10536
"1116",2003,"State of Mexico",15,53639
"1117",2003,"Tabasco",27,8129
"1118",2003,"Tamaulipas",28,13594
"1119",2003,"Tlaxcala",29,4758
"1120",2003,"Veracruz",30,38820
"1121",2003,"Yucatan",31,9619
"1122",2003,"Zacatecas",32,7406
"1123",2004,"Aguascalientes",1,4171
"1124",2004,"Baja California",2,10227
"1125",2004,"Baja California Sur",3,1912
"1126",2004,"Campeche",4,3408
"1127",2004,"Chiapas",7,17706
"1128",2004,"Chihuahua",8,13873
"1129",2004,"Coahuila",5,10601
"1130",2004,"Colima",6,2662
"1131",2004,"Durango",10,7145
"1132",2004,"Guanajuato",11,22385
"1133",2004,"Guerrero",12,16105
"1134",2004,"Hidalgo",13,11492
"1135",2004,"Jalisco",14,31591
"1136",2004,"Mexico City",9,46257
"1137",2004,"Michoacan",16,21138
"1138",2004,"Morelos",17,8083
"1139",2004,"National",0,479260
"1140",2004,"Nayarit",18,4991
"1141",2004,"Nuevo Leon",19,18157
"1142",2004,"Oaxaca",20,19676
"1143",2004,"Puebla",21,25839
"1144",2004,"Queretaro",22,6307
"1145",2004,"Quintana Roo",23,3216
"1146",2004,"San Luis Potosi",24,12513
"1147",2004,"Sinaloa",25,12441
"1148",2004,"Sonora",26,10669
"1149",2004,"State of Mexico",15,54216
"1150",2004,"Tabasco",27,8185
"1151",2004,"Tamaulipas",28,13708
"1152",2004,"Tlaxcala",29,4809
"1153",2004,"Veracruz",30,38747
"1154",2004,"Yucatan",31,9633
"1155",2004,"Zacatecas",32,7397
"1156",2005,"Aguascalientes",1,4407
"1157",2005,"Baja California",2,10851
"1158",2005,"Baja California Sur",3,2033
"1159",2005,"Campeche",4,3559
"1160",2005,"Chiapas",7,18323
"1161",2005,"Chihuahua",8,14570
"1162",2005,"Coahuila",5,11182
"1163",2005,"Colima",6,2790
"1164",2005,"Durango",10,7449
"1165",2005,"Guanajuato",11,23358
"1166",2005,"Guerrero",12,16623
"1167",2005,"Hidalgo",13,11980
"1168",2005,"Jalisco",14,33023
"1169",2005,"Mexico City",9,48580
"1170",2005,"Michoacan",16,21916
"1171",2005,"Morelos",17,8446
"1172",2005,"National",0,500593
"1173",2005,"Nayarit",18,5193
"1174",2005,"Nuevo Leon",19,19151
"1175",2005,"Oaxaca",20,20348
"1176",2005,"Puebla",21,26804
"1177",2005,"Queretaro",22,6653
"1178",2005,"Quintana Roo",23,3460
"1179",2005,"San Luis Potosi",24,13000
"1180",2005,"Sinaloa",25,12987
"1181",2005,"Sonora",26,11229
"1182",2005,"State of Mexico",15,56937
"1183",2005,"Tabasco",27,8550
"1184",2005,"Tamaulipas",28,14388
"1185",2005,"Tlaxcala",29,5032
"1186",2005,"Veracruz",30,40092
"1187",2005,"Yucatan",31,10015
"1188",2005,"Zacatecas",32,7664
"1189",2006,"Aguascalientes",1,4495
"1190",2006,"Baja California",2,11116
"1191",2006,"Baja California Sur",3,2094
"1192",2006,"Campeche",4,3569
"1193",2006,"Chiapas",7,18289
"1194",2006,"Chihuahua",8,14704
"1195",2006,"Coahuila",5,11373
"1196",2006,"Colima",6,2834
"1197",2006,"Durango",10,7500
"1198",2006,"Guanajuato",11,23571
"1199",2006,"Guerrero",12,16574
"1200",2006,"Hidalgo",13,12110
"1201",2006,"Jalisco",14,33294
"1202",2006,"Mexico City",9,48920
"1203",2006,"Michoacan",16,21944
"1204",2006,"Morelos",17,8545
"1205",2006,"National",0,504174
"1206",2006,"Nayarit",18,5228
"1207",2006,"Nuevo Leon",19,19474
"1208",2006,"Oaxaca",20,20321
"1209",2006,"Puebla",21,26773
"1210",2006,"Queretaro",22,6786
"1211",2006,"Quintana Roo",23,3588
"1212",2006,"San Luis Potosi",24,12998
"1213",2006,"Sinaloa",25,13065
"1214",2006,"Sonora",26,11403
"1215",2006,"State of Mexico",15,57719
"1216",2006,"Tabasco",27,8655
"1217",2006,"Tamaulipas",28,14528
"1218",2006,"Tlaxcala",29,5083
"1219",2006,"Veracruz",30,39962
"1220",2006,"Yucatan",31,10000
"1221",2006,"Zacatecas",32,7659
"1222",2007,"Aguascalientes",1,4737
"1223",2007,"Baja California",2,11801
"1224",2007,"Baja California Sur",3,2252
"1225",2007,"Campeche",4,3708
"1226",2007,"Chiapas",7,19021
"1227",2007,"Chihuahua",8,15321
"1228",2007,"Coahuila",5,12003
"1229",2007,"Colima",6,3000
"1230",2007,"Durango",10,7828
"1231",2007,"Guanajuato",11,24784
"1232",2007,"Guerrero",12,17247
"1233",2007,"Hidalgo",13,12792
"1234",2007,"Jalisco",14,34815
"1235",2007,"Mexico City",9,50767
"1236",2007,"Michoacan",16,22916
"1237",2007,"Morelos",17,8981
"1238",2007,"National",0,527242
"1239",2007,"Nayarit",18,5489
"1240",2007,"Nuevo Leon",19,20541
"1241",2007,"Oaxaca",20,21175
"1242",2007,"Puebla",21,27798
"1243",2007,"Queretaro",22,7196
"1244",2007,"Quintana Roo",23,3837
"1245",2007,"San Luis Potosi",24,13507
"1246",2007,"Sinaloa",25,13615
"1247",2007,"Sonora",26,12019
"1248",2007,"State of Mexico",15,60779
"1249",2007,"Tabasco",27,9126
"1250",2007,"Tamaulipas",28,15179
"1251",2007,"Tlaxcala",29,5320
"1252",2007,"Veracruz",30,41383
"1253",2007,"Yucatan",31,10349
"1254",2007,"Zacatecas",32,7956
"1255",2008,"Aguascalientes",1,4991
"1256",2008,"Baja California",2,12520
"1257",2008,"Baja California Sur",3,2418
"1258",2008,"Campeche",4,3875
"1259",2008,"Chiapas",7,19928
"1260",2008,"Chihuahua",8,15961
"1261",2008,"Coahuila",5,12668
"1262",2008,"Colima",6,3184
"1263",2008,"Durango",10,8189
"1264",2008,"Guanajuato",11,26050
