"","year","state","CVE_GEO","population"
"185",1975,"Oaxaca",20,2290454
"186",1975,"Puebla",21,2999715
"187",1975,"Queretaro",22,612803
"188",1975,"Quintana Roo",23,147442
"189",1975,"San Luis Potosi",24,1507569
"190",1975,"Sinaloa",25,1553437
"191",1975,"Sonora",26,1312759
"192",1975,"State of Mexico",15,5528298
"193",1975,"Tabasco",27,924549
"194",1975,"Tamaulipas",28,1705344
"195",1975,"Tlaxcala",29,495988
"196",1975,"Veracruz",30,4643092
"197",1975,"Yucatan",31,924766
"198",1975,"Zacatecas",32,1069997
"199",1976,"Aguascalientes",1,443929
"200",1976,"Baja California",2,1055496
"201",1976,"Baja California Sur",3,175980
"202",1976,"Campeche",4,350841
"203",1976,"Chiapas",7,1926342
"204",1976,"Chihuahua",8,1876200
"205",1976,"Coahuila",5,1382702
"206",1976,"Colima",6,304678
"207",1976,"Durango",10,1104123
"208",1976,"Guanajuato",11,2747768
"209",1976,"Guerrero",12,1954758
"210",1976,"Hidalgo",13,1431517
"211",1976,"Jalisco",14,3992791
"212",1976,"Mexico City",9,8129180
"213",1976,"Michoacan",16,2726204
"214",1976,"Morelos",17,809800
"215",1976,"National",0,59846217
"216",1976,"Nayarit",18,659783
"217",1976,"Nuevo Leon",19,2161267
"218",1976,"Oaxaca",20,2320176
"219",1976,"Puebla",21,3076095
"220",1976,"Queretaro",22,636403
"221",1976,"Quintana Roo",23,160487
"222",1976,"San Luis Potosi",24,1543056
"223",1976,"Sinaloa",25,1607424
"224",1976,"Sonora",26,1350325
"225",1976,"State of Mexico",15,5884534
"226",1976,"Tabasco",27,951418
"227",1976,"Tamaulipas",28,1747677
"228",1976,"Tlaxcala",29,508344
"229",1976,"Veracruz",30,4787955
"230",1976,"Yucatan",31,952440
"231",1976,"Zacatecas",32,1086524
"232",1977,"Aguascalientes",1,461031
"233",1977,"Baja California",2,1083518
"234",1977,"Baja California Sur",3,184282
"235",1977,"Campeche",4,367143
"236",1977,"Chiapas",7,1971816
"237",1977,"Chihuahua",8,1911037
"238",1977,"Coahuila",5,1423164
"239",1977,"Colima",6,314573
"240",1977,"Durango",10,1125710
"241",1977,"Guanajuato",11,2813930
"242",1977,"Guerrero",12,2000817
"243",1977,"Hidalgo",13,1462203
"244",1977,"Jalisco",14,4090914
"245",1977,"Mexico City",9,8300336
"246",1977,"Michoacan",16,2773498
"247",1977,"Morelos",17,841073
"248",1977,"National",0,61556144
"249",1977,"Nayarit",18,676321
"250",1977,"Nuevo Leon",19,2237593
