"","year","state","CVE_GEO","age","population","births_grouped","births","ferty_rate","birth_rate"
"243",2020,"Coahuila",5,47,40113,89,17.8,0.172,0.000443746416373744
"244",2020,"Coahuila",5,48,39241,89,17.8,0.172,0.000453607196554624
"245",2020,"Coahuila",5,49,38226,89,17.8,0.172,0.000465651650708942
"246",2020,"Colima",6,15,13181,2171,434.2,13.506,0.032941354980654
"247",2020,"Colima",6,16,13157,2171,434.2,13.506,0.0330014440981987
"248",2020,"Colima",6,17,13130,2171,434.2,13.506,0.0330693069306931
"249",2020,"Colima",6,18,13130,2171,434.2,13.506,0.0330693069306931
"250",2020,"Colima",6,19,13118,2171,434.2,13.506,0.0330995578594298
"251",2020,"Colima",6,20,13110,3918,783.6,23.96,0.0597711670480549
"252",2020,"Colima",6,21,13130,3918,783.6,23.96,0.0596801218583397
"253",2020,"Colima",6,22,13180,3918,783.6,23.96,0.059453717754173
"254",2020,"Colima",6,23,13258,3918,783.6,23.96,0.0591039372454367
"255",2020,"Colima",6,24,13348,3918,783.6,23.96,0.0587054240335631
"256",2020,"Colima",6,25,13409,3384,676.8,20.334,0.0504735625326273
"257",2020,"Colima",6,26,13405,3384,676.8,20.334,0.0504886236478926
"258",2020,"Colima",6,27,13363,3384,676.8,20.334,0.0506473097358378
"259",2020,"Colima",6,28,13262,3384,676.8,20.334,0.0510330266928065
"260",2020,"Colima",6,29,13112,3384,676.8,20.334,0.0516168395363026
"261",2020,"Colima",6,30,12940,2529,505.8,15.806,0.0390880989180835
"262",2020,"Colima",6,31,12769,2529,505.8,15.806,0.0396115592450466
"263",2020,"Colima",6,32,12571,2529,505.8,15.806,0.0402354625725877
"264",2020,"Colima",6,33,12349,2529,505.8,15.806,0.0409587820876184
"265",2020,"Colima",6,34,12119,2529,505.8,15.806,0.0417361168413235
"266",2020,"Colima",6,35,11881,1110,222,7.496,0.0186852958505176
"267",2020,"Colima",6,36,11632,1110,222,7.496,0.0190852819807428
"268",2020,"Colima",6,37,11389,1110,222,7.496,0.0194924927561682
"269",2020,"Colima",6,38,11153,1110,222,7.496,0.0199049583071819
"270",2020,"Colima",6,39,10928,1110,222,7.496,0.0203147877013177
"271",2020,"Colima",6,40,10728,306,61.2,2.248,0.00570469798657718
"272",2020,"Colima",6,41,10552,306,61.2,2.248,0.00579984836997726
"273",2020,"Colima",6,42,10399,306,61.2,2.248,0.00588518126742956
"274",2020,"Colima",6,43,10276,306,61.2,2.248,0.00595562475671467
"275",2020,"Colima",6,44,10172,306,61.2,2.248,0.00601651592607157
"276",2020,"Colima",6,45,10022,35,7,0.28,0.000698463380562762
"277",2020,"Colima",6,46,9848,35,7,0.28,0.000710804224207961
"278",2020,"Colima",6,47,9637,35,7,0.28,0.00072636712669918
"279",2020,"Colima",6,48,9395,35,7,0.28,0.000745077168706759
"280",2020,"Colima",6,49,9135,35,7,0.28,0.000766283524904215
"281",2020,"Durango",10,15,34540,5529,1105.8,13.262,0.0320150550086856
"282",2020,"Durango",10,16,34155,5529,1105.8,13.262,0.0323759332454985
"283",2020,"Durango",10,17,33756,5529,1105.8,13.262,0.0327586206896552
"284",2020,"Durango",10,18,33397,5529,1105.8,13.262,0.0331107584513579
"285",2020,"Durango",10,19,33062,5529,1105.8,13.262,0.0334462524953118
"286",2020,"Durango",10,20,32744,9760,1952,24.51,0.0596139750794039
"287",2020,"Durango",10,21,32443,9760,1952,24.51,0.0601670622322227
"288",2020,"Durango",10,22,32170,9760,1952,24.51,0.0606776499844576
"289",2020,"Durango",10,23,31933,9760,1952,24.51,0.0611279867221996
"290",2020,"Durango",10,24,31736,9760,1952,24.51,0.0615074363498866
"291",2020,"Durango",10,25,31523,8122,1624.4,21.184,0.0515306284300352
"292",2020,"Durango",10,26,31192,8122,1624.4,21.184,0.0520774557578866
"293",2020,"Durango",10,27,30770,8122,1624.4,21.184,0.0527916802079948
"294",2020,"Durango",10,28,30238,8122,1624.4,21.184,0.0537204841590052
"295",2020,"Durango",10,29,29560,8122,1624.4,21.184,0.0549526387009472
"296",2020,"Durango",10,30,28852,5504,1100.8,15.552,0.0381533342575905
"297",2020,"Durango",10,31,28205,5504,1100.8,15.552,0.0390285410388229
"298",2020,"Durango",10,32,27536,5504,1100.8,15.552,0.0399767576990122
"299",2020,"Durango",10,33,26881,5504,1100.8,15.552,0.0409508574829805
"300",2020,"Durango",10,34,26246,5504,1100.8,15.552,0.0419416292006401
"301",2020,"Durango",10,35,25638,2819,563.8,8.71,0.0219907949137998
"302",2020,"Durango",10,36,25064,2819,563.8,8.71,0.0224944142993936
"303",2020,"Durango",10,37,24542,2819,563.8,8.71,0.0229728628473637
"304",2020,"Durango",10,38,24075,2819,563.8,8.71,0.0234184839044652
"305",2020,"Durango",10,39,23669,2819,563.8,8.71,0.0238201867421522
"306",2020,"Durango",10,40,23328,827,165.4,2.736,0.00709019204389575
"307",2020,"Durango",10,41,23072,827,165.4,2.736,0.00716886269070735
"308",2020,"Durango",10,42,22877,827,165.4,2.736,0.00722996896446212
"309",2020,"Durango",10,43,22740,827,165.4,2.736,0.00727352682497801
"310",2020,"Durango",10,44,22631,827,165.4,2.736,0.0073085590561619
"311",2020,"Durango",10,45,22398,87,17.4,0.308,0.000776855076346102
"312",2020,"Durango",10,46,22093,87,17.4,0.308,0.000787579776399765
"313",2020,"Durango",10,47,21697,87,17.4,0.308,0.000801954187214822
