"","year","state","CVE_GEO","age","births_grouped","births","ferty_rate"
"219",2020,"Coahuila",5,23,18587,3717.4,28.23
"220",2020,"Coahuila",5,24,18587,3717.4,28.23
"221",2020,"Coahuila",5,25,14905,2981,23.42
"222",2020,"Coahuila",5,26,14905,2981,23.42
"223",2020,"Coahuila",5,27,14905,2981,23.42
"224",2020,"Coahuila",5,28,14905,2981,23.42
"225",2020,"Coahuila",5,29,14905,2981,23.42
"226",2020,"Coahuila",5,30,9870,1974,16.604
"227",2020,"Coahuila",5,31,9870,1974,16.604
"228",2020,"Coahuila",5,32,9870,1974,16.604
"229",2020,"Coahuila",5,33,9870,1974,16.604
"230",2020,"Coahuila",5,34,9870,1974,16.604
"231",2020,"Coahuila",5,35,4027,805.4,7.18
"232",2020,"Coahuila",5,36,4027,805.4,7.18
"233",2020,"Coahuila",5,37,4027,805.4,7.18
"234",2020,"Coahuila",5,38,4027,805.4,7.18
"235",2020,"Coahuila",5,39,4027,805.4,7.18
"236",2020,"Coahuila",5,40,975,195,1.792
"237",2020,"Coahuila",5,41,975,195,1.792
"238",2020,"Coahuila",5,42,975,195,1.792
"239",2020,"Coahuila",5,43,975,195,1.792
"240",2020,"Coahuila",5,44,975,195,1.792
"241",2020,"Coahuila",5,45,89,17.8,0.172
"242",2020,"Coahuila",5,46,89,17.8,0.172
"243",2020,"Coahuila",5,47,89,17.8,0.172
"244",2020,"Coahuila",5,48,89,17.8,0.172
"245",2020,"Coahuila",5,49,89,17.8,0.172
"246",2020,"Colima",6,15,2171,434.2,13.506
"247",2020,"Colima",6,16,2171,434.2,13.506
"248",2020,"Colima",6,17,2171,434.2,13.506
"249",2020,"Colima",6,18,2171,434.2,13.506
"250",2020,"Colima",6,19,2171,434.2,13.506
"251",2020,"Colima",6,20,3918,783.6,23.96
"252",2020,"Colima",6,21,3918,783.6,23.96
"253",2020,"Colima",6,22,3918,783.6,23.96
"254",2020,"Colima",6,23,3918,783.6,23.96
"255",2020,"Colima",6,24,3918,783.6,23.96
"256",2020,"Colima",6,25,3384,676.8,20.334
"257",2020,"Colima",6,26,3384,676.8,20.334
"258",2020,"Colima",6,27,3384,676.8,20.334
"259",2020,"Colima",6,28,3384,676.8,20.334
"260",2020,"Colima",6,29,3384,676.8,20.334
"261",2020,"Colima",6,30,2529,505.8,15.806
"262",2020,"Colima",6,31,2529,505.8,15.806
"263",2020,"Colima",6,32,2529,505.8,15.806
"264",2020,"Colima",6,33,2529,505.8,15.806
"265",2020,"Colima",6,34,2529,505.8,15.806
"266",2020,"Colima",6,35,1110,222,7.496
"267",2020,"Colima",6,36,1110,222,7.496
"268",2020,"Colima",6,37,1110,222,7.496
"269",2020,"Colima",6,38,1110,222,7.496
"270",2020,"Colima",6,39,1110,222,7.496
"271",2020,"Colima",6,40,306,61.2,2.248
"272",2020,"Colima",6,41,306,61.2,2.248
"273",2020,"Colima",6,42,306,61.2,2.248
"274",2020,"Colima",6,43,306,61.2,2.248
"275",2020,"Colima",6,44,306,61.2,2.248
"276",2020,"Colima",6,45,35,7,0.28
"277",2020,"Colima",6,46,35,7,0.28
"278",2020,"Colima",6,47,35,7,0.28
"279",2020,"Colima",6,48,35,7,0.28
"280",2020,"Colima",6,49,35,7,0.28
"281",2020,"Durango",10,15,5529,1105.8,13.262
"282",2020,"Durango",10,16,5529,1105.8,13.262
"283",2020,"Durango",10,17,5529,1105.8,13.262
"284",2020,"Durango",10,18,5529,1105.8,13.262
"285",2020,"Durango",10,19,5529,1105.8,13.262
"286",2020,"Durango",10,20,9760,1952,24.51
"287",2020,"Durango",10,21,9760,1952,24.51
"288",2020,"Durango",10,22,9760,1952,24.51
"289",2020,"Durango",10,23,9760,1952,24.51
"290",2020,"Durango",10,24,9760,1952,24.51
"291",2020,"Durango",10,25,8122,1624.4,21.184
"292",2020,"Durango",10,26,8122,1624.4,21.184
"293",2020,"Durango",10,27,8122,1624.4,21.184
"294",2020,"Durango",10,28,8122,1624.4,21.184
"295",2020,"Durango",10,29,8122,1624.4,21.184
"296",2020,"Durango",10,30,5504,1100.8,15.552
"297",2020,"Durango",10,31,5504,1100.8,15.552
"298",2020,"Durango",10,32,5504,1100.8,15.552
"299",2020,"Durango",10,33,5504,1100.8,15.552
"300",2020,"Durango",10,34,5504,1100.8,15.552
"301",2020,"Durango",10,35,2819,563.8,8.71
"302",2020,"Durango",10,36,2819,563.8,8.71
"303",2020,"Durango",10,37,2819,563.8,8.71
"304",2020,"Durango",10,38,2819,563.8,8.71
"305",2020,"Durango",10,39,2819,563.8,8.71
"306",2020,"Durango",10,40,827,165.4,2.736
"307",2020,"Durango",10,41,827,165.4,2.736
"308",2020,"Durango",10,42,827,165.4,2.736
"309",2020,"Durango",10,43,827,165.4,2.736
"310",2020,"Durango",10,44,827,165.4,2.736
"311",2020,"Durango",10,45,87,17.4,0.308
"312",2020,"Durango",10,46,87,17.4,0.308
"313",2020,"Durango",10,47,87,17.4,0.308
"314",2020,"Durango",10,48,87,17.4,0.308
"315",2020,"Durango",10,49,87,17.4,0.308
"316",2020,"Guanajuato",11,15,18909,3781.8,13.606
"317",2020,"Guanajuato",11,16,18909,3781.8,13.606
"318",2020,"Guanajuato",11,17,18909,3781.8,13.606
"319",2020,"Guanajuato",11,18,18909,3781.8,13.606
"320",2020,"Guanajuato",11,19,18909,3781.8,13.606
"321",2020,"Guanajuato",11,20,30330,6066,22.25
"322",2020,"Guanajuato",11,21,30330,6066,22.25
"323",2020,"Guanajuato",11,22,30330,6066,22.25
"324",2020,"Guanajuato",11,23,30330,6066,22.25
"325",2020,"Guanajuato",11,24,30330,6066,22.25
"326",2020,"Guanajuato",11,25,29112,5822.4,21.68
"327",2020,"Guanajuato",11,26,29112,5822.4,21.68
"328",2020,"Guanajuato",11,27,29112,5822.4,21.68
"329",2020,"Guanajuato",11,28,29112,5822.4,21.68
"330",2020,"Guanajuato",11,29,29112,5822.4,21.68
"331",2020,"Guanajuato",11,30,20929,4185.8,16.612
"332",2020,"Guanajuato",11,31,20929,4185.8,16.612
"333",2020,"Guanajuato",11,32,20929,4185.8,16.612
"334",2020,"Guanajuato",11,33,20929,4185.8,16.612
"335",2020,"Guanajuato",11,34,20929,4185.8,16.612
"336",2020,"Guanajuato",11,35,9626,1925.2,8.354
"337",2020,"Guanajuato",11,36,9626,1925.2,8.354
"338",2020,"Guanajuato",11,37,9626,1925.2,8.354
"339",2020,"Guanajuato",11,38,9626,1925.2,8.354
"340",2020,"Guanajuato",11,39,9626,1925.2,8.354
"341",2020,"Guanajuato",11,40,2622,524.4,2.476
"342",2020,"Guanajuato",11,41,2622,524.4,2.476
"343",2020,"Guanajuato",11,42,2622,524.4,2.476
"344",2020,"Guanajuato",11,43,2622,524.4,2.476
"345",2020,"Guanajuato",11,44,2622,524.4,2.476
"346",2020,"Guanajuato",11,45,262,52.4,0.27
"347",2020,"Guanajuato",11,46,262,52.4,0.27
"348",2020,"Guanajuato",11,47,262,52.4,0.27
"349",2020,"Guanajuato",11,48,262,52.4,0.27
"350",2020,"Guanajuato",11,49,262,52.4,0.27
"351",2020,"Guerrero",12,15,12224,2444.8,14.278
"352",2020,"Guerrero",12,16,12224,2444.8,14.278
"353",2020,"Guerrero",12,17,12224,2444.8,14.278
"354",2020,"Guerrero",12,18,12224,2444.8,14.278
"355",2020,"Guerrero",12,19,12224,2444.8,14.278
"356",2020,"Guerrero",12,20,19640,3928,24.218
"357",2020,"Guerrero",12,21,19640,3928,24.218
"358",2020,"Guerrero",12,22,19640,3928,24.218
"359",2020,"Guerrero",12,23,19640,3928,24.218
"360",2020,"Guerrero",12,24,19640,3928,24.218
"361",2020,"Guerrero",12,25,16999,3399.8,22.2
"362",2020,"Guerrero",12,26,16999,3399.8,22.2
"363",2020,"Guerrero",12,27,16999,3399.8,22.2
"364",2020,"Guerrero",12,28,16999,3399.8,22.2
"365",2020,"Guerrero",12,29,16999,3399.8,22.2
"366",2020,"Guerrero",12,30,11676,2335.2,16.852
"367",2020,"Guerrero",12,31,11676,2335.2,16.852
"368",2020,"Guerrero",12,32,11676,2335.2,16.852
"369",2020,"Guerrero",12,33,11676,2335.2,16.852
"370",2020,"Guerrero",12,34,11676,2335.2,16.852
"371",2020,"Guerrero",12,35,5650,1130,9.088
"372",2020,"Guerrero",12,36,5650,1130,9.088
"373",2020,"Guerrero",12,37,5650,1130,9.088
"374",2020,"Guerrero",12,38,5650,1130,9.088
"375",2020,"Guerrero",12,39,5650,1130,9.088
"376",2020,"Guerrero",12,40,1696,339.2,2.982
"377",2020,"Guerrero",12,41,1696,339.2,2.982
"378",2020,"Guerrero",12,42,1696,339.2,2.982
"379",2020,"Guerrero",12,43,1696,339.2,2.982
"380",2020,"Guerrero",12,44,1696,339.2,2.982
"381",2020,"Guerrero",12,45,200,40,0.382
"382",2020,"Guerrero",12,46,200,40,0.382
"383",2020,"Guerrero",12,47,200,40,0.382
"384",2020,"Guerrero",12,48,200,40,0.382
"385",2020,"Guerrero",12,49,200,40,0.382
"386",2020,"Hidalgo",13,15,9150,1830,13.708
"387",2020,"Hidalgo",13,16,9150,1830,13.708
"388",2020,"Hidalgo",13,17,9150,1830,13.708
"389",2020,"Hidalgo",13,18,9150,1830,13.708
"390",2020,"Hidalgo",13,19,9150,1830,13.708
"391",2020,"Hidalgo",13,20,15690,3138,24.61
"392",2020,"Hidalgo",13,21,15690,3138,24.61
"393",2020,"Hidalgo",13,22,15690,3138,24.61
"394",2020,"Hidalgo",13,23,15690,3138,24.61
"395",2020,"Hidalgo",13,24,15690,3138,24.61
"396",2020,"Hidalgo",13,25,13520,2704,21.458
"397",2020,"Hidalgo",13,26,13520,2704,21.458
"398",2020,"Hidalgo",13,27,13520,2704,21.458
"399",2020,"Hidalgo",13,28,13520,2704,21.458
"400",2020,"Hidalgo",13,29,13520,2704,21.458
"401",2020,"Hidalgo",13,30,8897,1779.4,14.554
"402",2020,"Hidalgo",13,31,8897,1779.4,14.554
"403",2020,"Hidalgo",13,32,8897,1779.4,14.554
"404",2020,"Hidalgo",13,33,8897,1779.4,14.554
"405",2020,"Hidalgo",13,34,8897,1779.4,14.554
"406",2020,"Hidalgo",13,35,3780,756,6.512
"407",2020,"Hidalgo",13,36,3780,756,6.512
"408",2020,"Hidalgo",13,37,3780,756,6.512
"409",2020,"Hidalgo",13,38,3780,756,6.512
"410",2020,"Hidalgo",13,39,3780,756,6.512
"411",2020,"Hidalgo",13,40,1032,206.4,1.886
"412",2020,"Hidalgo",13,41,1032,206.4,1.886
"413",2020,"Hidalgo",13,42,1032,206.4,1.886
"414",2020,"Hidalgo",13,43,1032,206.4,1.886
"415",2020,"Hidalgo",13,44,1032,206.4,1.886
"416",2020,"Hidalgo",13,45,112,22.4,0.22
"417",2020,"Hidalgo",13,46,112,22.4,0.22
"418",2020,"Hidalgo",13,47,112,22.4,0.22
"419",2020,"Hidalgo",13,48,112,22.4,0.22
"420",2020,"Hidalgo",13,49,112,22.4,0.22
"421",2020,"Jalisco",14,15,23031,4606.2,12.656
"422",2020,"Jalisco",14,16,23031,4606.2,12.656
"423",2020,"Jalisco",14,17,23031,4606.2,12.656
"424",2020,"Jalisco",14,18,23031,4606.2,12.656
"425",2020,"Jalisco",14,19,23031,4606.2,12.656
"426",2020,"Jalisco",14,20,39100,7820,21.92
"427",2020,"Jalisco",14,21,39100,7820,21.92
"428",2020,"Jalisco",14,22,39100,7820,21.92
"429",2020,"Jalisco",14,23,39100,7820,21.92
"430",2020,"Jalisco",14,24,39100,7820,21.92
"431",2020,"Jalisco",14,25,36235,7247,20.6
"432",2020,"Jalisco",14,26,36235,7247,20.6
"433",2020,"Jalisco",14,27,36235,7247,20.6
"434",2020,"Jalisco",14,28,36235,7247,20.6
"435",2020,"Jalisco",14,29,36235,7247,20.6
"436",2020,"Jalisco",14,30,26560,5312,15.94
"437",2020,"Jalisco",14,31,26560,5312,15.94
"438",2020,"Jalisco",14,32,26560,5312,15.94
"439",2020,"Jalisco",14,33,26560,5312,15.94
"440",2020,"Jalisco",14,34,26560,5312,15.94
"441",2020,"Jalisco",14,35,12525,2505,8.136
"442",2020,"Jalisco",14,36,12525,2505,8.136
"443",2020,"Jalisco",14,37,12525,2505,8.136
"444",2020,"Jalisco",14,38,12525,2505,8.136
"445",2020,"Jalisco",14,39,12525,2505,8.136
"446",2020,"Jalisco",14,40,3327,665.4,2.34
"447",2020,"Jalisco",14,41,3327,665.4,2.34
"448",2020,"Jalisco",14,42,3327,665.4,2.34
"449",2020,"Jalisco",14,43,3327,665.4,2.34
"450",2020,"Jalisco",14,44,3327,665.4,2.34
"451",2020,"Jalisco",14,45,312,62.4,0.238
"452",2020,"Jalisco",14,46,312,62.4,0.238
"453",2020,"Jalisco",14,47,312,62.4,0.238
"454",2020,"Jalisco",14,48,312,62.4,0.238
"455",2020,"Jalisco",14,49,312,62.4,0.238
"456",2020,"MCMA",33,15,45526,98.8260590978735,12.478
"457",2020,"MCMA",33,15,15013,261.043656540837,9.566
"458",2020,"MCMA",33,15,45526,28.5943108447123,12.478
"459",2020,"MCMA",33,15,45526,17.2375311568703,12.478
"460",2020,"MCMA",33,15,45526,38.6326738841278,12.478
"461",2020,"MCMA",33,15,45526,268.668784267506,12.478
"462",2020,"MCMA",33,15,45526,18.5988729985015,12.478
"463",2020,"MCMA",33,15,45526,16.1521369858401,12.478
"464",2020,"MCMA",33,15,45526,5.90528015085953,12.478
"465",2020,"MCMA",33,15,15013,127.8599873126,9.566
"466",2020,"MCMA",33,15,15013,97.875699131957,9.566
"467",2020,"MCMA",33,15,45526,225.498304244608,12.478
"468",2020,"MCMA",33,15,45526,16.9493191453538,12.478
"469",2020,"MCMA",33,15,45526,120.092426245517,12.478
"470",2020,"MCMA",33,15,45526,14.8459846783291,12.478
