"","year","state","CVE_GEO","age","sex","population","ferty_rate"
"223",2020,"Coahuila",5,27,"Female",25387,23.42
"224",2020,"Coahuila",5,28,"Female",25054,23.42
"225",2020,"Coahuila",5,29,"Female",24655,23.42
"226",2020,"Coahuila",5,30,"Female",24262,16.604
"227",2020,"Coahuila",5,31,"Female",23934,16.604
"228",2020,"Coahuila",5,32,"Female",23608,16.604
"229",2020,"Coahuila",5,33,"Female",23296,16.604
"230",2020,"Coahuila",5,34,"Female",23013,16.604
"231",2020,"Coahuila",5,35,"Female",22755,7.18
"232",2020,"Coahuila",5,36,"Female",22517,7.18
"233",2020,"Coahuila",5,37,"Female",22317,7.18
"234",2020,"Coahuila",5,38,"Female",22141,7.18
"235",2020,"Coahuila",5,39,"Female",21995,7.18
"236",2020,"Coahuila",5,40,"Female",21886,1.792
"237",2020,"Coahuila",5,41,"Female",21802,1.792
"238",2020,"Coahuila",5,42,"Female",21734,1.792
"239",2020,"Coahuila",5,43,"Female",21676,1.792
"240",2020,"Coahuila",5,44,"Female",21611,1.792
"241",2020,"Coahuila",5,45,"Female",21391,0.172
"242",2020,"Coahuila",5,46,"Female",21088,0.172
"243",2020,"Coahuila",5,47,"Female",20686,0.172
"244",2020,"Coahuila",5,48,"Female",20190,0.172
"245",2020,"Coahuila",5,49,"Female",19634,0.172
"246",2020,"Colima",6,15,"Female",6387,13.506
"247",2020,"Colima",6,16,"Female",6398,13.506
"248",2020,"Colima",6,17,"Female",6412,13.506
"249",2020,"Colima",6,18,"Female",6441,13.506
"250",2020,"Colima",6,19,"Female",6460,13.506
"251",2020,"Colima",6,20,"Female",6474,23.96
"252",2020,"Colima",6,21,"Female",6493,23.96
"253",2020,"Colima",6,22,"Female",6528,23.96
"254",2020,"Colima",6,23,"Female",6580,23.96
"255",2020,"Colima",6,24,"Female",6637,23.96
"256",2020,"Colima",6,25,"Female",6674,20.334
"257",2020,"Colima",6,26,"Female",6676,20.334
"258",2020,"Colima",6,27,"Female",6662,20.334
"259",2020,"Colima",6,28,"Female",6624,20.334
"260",2020,"Colima",6,29,"Female",6571,20.334
"261",2020,"Colima",6,30,"Female",6508,15.806
"262",2020,"Colima",6,31,"Female",6444,15.806
"263",2020,"Colima",6,32,"Female",6366,15.806
"264",2020,"Colima",6,33,"Female",6273,15.806
"265",2020,"Colima",6,34,"Female",6177,15.806
"266",2020,"Colima",6,35,"Female",6076,7.496
"267",2020,"Colima",6,36,"Female",5970,7.496
"268",2020,"Colima",6,37,"Female",5866,7.496
"269",2020,"Colima",6,38,"Female",5762,7.496
"270",2020,"Colima",6,39,"Female",5658,7.496
"271",2020,"Colima",6,40,"Female",5563,2.248
"272",2020,"Colima",6,41,"Female",5478,2.248
"273",2020,"Colima",6,42,"Female",5396,2.248
"274",2020,"Colima",6,43,"Female",5327,2.248
"275",2020,"Colima",6,44,"Female",5260,2.248
"276",2020,"Colima",6,45,"Female",5170,0.28
"277",2020,"Colima",6,46,"Female",5070,0.28
"278",2020,"Colima",6,47,"Female",4953,0.28
"279",2020,"Colima",6,48,"Female",4821,0.28
"280",2020,"Colima",6,49,"Female",4685,0.28
"281",2020,"Durango",10,15,"Female",16997,13.262
"282",2020,"Durango",10,16,"Female",16808,13.262
"283",2020,"Durango",10,17,"Female",16621,13.262
"284",2020,"Durango",10,18,"Female",16460,13.262
"285",2020,"Durango",10,19,"Female",16311,13.262
"286",2020,"Durango",10,20,"Female",16165,24.51
"287",2020,"Durango",10,21,"Female",16020,24.51
"288",2020,"Durango",10,22,"Female",15900,24.51
"289",2020,"Durango",10,23,"Female",15810,24.51
"290",2020,"Durango",10,24,"Female",15741,24.51
"291",2020,"Durango",10,25,"Female",15655,21.184
"292",2020,"Durango",10,26,"Female",15509,21.184
"293",2020,"Durango",10,27,"Female",15333,21.184
"294",2020,"Durango",10,28,"Female",15121,21.184
"295",2020,"Durango",10,29,"Female",14852,21.184
"296",2020,"Durango",10,30,"Female",14574,15.552
"297",2020,"Durango",10,31,"Female",14324,15.552
"298",2020,"Durango",10,32,"Female",14063,15.552
"299",2020,"Durango",10,33,"Female",13799,15.552
"300",2020,"Durango",10,34,"Female",13541,15.552
"301",2020,"Durango",10,35,"Female",13292,8.71
"302",2020,"Durango",10,36,"Female",13062,8.71
"303",2020,"Durango",10,37,"Female",12847,8.71
"304",2020,"Durango",10,38,"Female",12650,8.71
"305",2020,"Durango",10,39,"Female",12467,8.71
"306",2020,"Durango",10,40,"Female",12299,2.736
"307",2020,"Durango",10,41,"Female",12157,2.736
"308",2020,"Durango",10,42,"Female",12031,2.736
"309",2020,"Durango",10,43,"Female",11922,2.736
"310",2020,"Durango",10,44,"Female",11825,2.736
"311",2020,"Durango",10,45,"Female",11663,0.308
"312",2020,"Durango",10,46,"Female",11468,0.308
"313",2020,"Durango",10,47,"Female",11236,0.308
"314",2020,"Durango",10,48,"Female",10967,0.308
"315",2020,"Durango",10,49,"Female",10678,0.308
"316",2020,"Guanajuato",11,15,"Female",56070,13.606
"317",2020,"Guanajuato",11,16,"Female",55882,13.606
"318",2020,"Guanajuato",11,17,"Female",55642,13.606
"319",2020,"Guanajuato",11,18,"Female",55440,13.606
"320",2020,"Guanajuato",11,19,"Female",55199,13.606
"321",2020,"Guanajuato",11,20,"Female",54932,22.25
"322",2020,"Guanajuato",11,21,"Female",54698,22.25
"323",2020,"Guanajuato",11,22,"Female",54556,22.25
"324",2020,"Guanajuato",11,23,"Female",54538,22.25
"325",2020,"Guanajuato",11,24,"Female",54561,22.25
"326",2020,"Guanajuato",11,25,"Female",54501,21.68
"327",2020,"Guanajuato",11,26,"Female",54221,21.68
"328",2020,"Guanajuato",11,27,"Female",53829,21.68
"329",2020,"Guanajuato",11,28,"Female",53304,21.68
"330",2020,"Guanajuato",11,29,"Female",52552,21.68
"331",2020,"Guanajuato",11,30,"Female",51736,16.612
"332",2020,"Guanajuato",11,31,"Female",50981,16.612
"333",2020,"Guanajuato",11,32,"Female",50156,16.612
"334",2020,"Guanajuato",11,33,"Female",49285,16.612
"335",2020,"Guanajuato",11,34,"Female",48409,16.612
"336",2020,"Guanajuato",11,35,"Female",47511,8.354
"337",2020,"Guanajuato",11,36,"Female",46609,8.354
"338",2020,"Guanajuato",11,37,"Female",45730,8.354
"339",2020,"Guanajuato",11,38,"Female",44883,8.354
"340",2020,"Guanajuato",11,39,"Female",44088,8.354
"341",2020,"Guanajuato",11,40,"Female",43373,2.476
"342",2020,"Guanajuato",11,41,"Female",42723,2.476
"343",2020,"Guanajuato",11,42,"Female",42123,2.476
"344",2020,"Guanajuato",11,43,"Female",41578,2.476
"345",2020,"Guanajuato",11,44,"Female",41061,2.476
"346",2020,"Guanajuato",11,45,"Female",40314,0.27
"347",2020,"Guanajuato",11,46,"Female",39441,0.27
"348",2020,"Guanajuato",11,47,"Female",38440,0.27
"349",2020,"Guanajuato",11,48,"Female",37334,0.27
"350",2020,"Guanajuato",11,49,"Female",36161,0.27
"351",2020,"Guerrero",12,15,"Female",35034,14.278
"352",2020,"Guerrero",12,16,"Female",34692,14.278
"353",2020,"Guerrero",12,17,"Female",34313,14.278
"354",2020,"Guerrero",12,18,"Female",33940,14.278
"355",2020,"Guerrero",12,19,"Female",33579,14.278
"356",2020,"Guerrero",12,20,"Female",33220,24.218
"357",2020,"Guerrero",12,21,"Female",32835,24.218
"358",2020,"Guerrero",12,22,"Female",32484,24.218
"359",2020,"Guerrero",12,23,"Female",32172,24.218
"360",2020,"Guerrero",12,24,"Female",31874,24.218
"361",2020,"Guerrero",12,25,"Female",31554,22.2
"362",2020,"Guerrero",12,26,"Female",31136,22.2
"363",2020,"Guerrero",12,27,"Female",30663,22.2
"364",2020,"Guerrero",12,28,"Female",30123,22.2
"365",2020,"Guerrero",12,29,"Female",29449,22.2
"366",2020,"Guerrero",12,30,"Female",28761,16.852
"367",2020,"Guerrero",12,31,"Female",28160,16.852
"368",2020,"Guerrero",12,32,"Female",27544,16.852
"369",2020,"Guerrero",12,33,"Female",26938,16.852
"370",2020,"Guerrero",12,34,"Female",26333,16.852
"371",2020,"Guerrero",12,35,"Female",25745,9.088
"372",2020,"Guerrero",12,36,"Female",25200,9.088
"373",2020,"Guerrero",12,37,"Female",24686,9.088
"374",2020,"Guerrero",12,38,"Female",24208,9.088
"375",2020,"Guerrero",12,39,"Female",23754,9.088
"376",2020,"Guerrero",12,40,"Female",23336,2.982
"377",2020,"Guerrero",12,41,"Female",22971,2.982
"378",2020,"Guerrero",12,42,"Female",22649,2.982
"379",2020,"Guerrero",12,43,"Female",22366,2.982
